AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,73020,0,1000,1,,,27.54,57280,0.5,13.04,16.05,22.05,31.35,47.92,27130,33370,45870,65200,99670,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,11-0000,Management Occupations,major,3710,1.5,50.852,0.74,,,59.25,123250,1.1,23.65,34.16,49.73,76.37,102.57,49190,71050,103430,158860,213340,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,11-1011,Chief Executives,detailed,60,3.6,0.767,0.55,,,99.94,207870,3.5,52.45,65.94,81.79,105.57,#,109100,137160,170120,219580,#,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,11-1021,General and Operations Managers,detailed,1120,3.4,15.375,0.67,,,62.3,129590,2.3,21.19,30.76,47.55,79.78,#,44080,63980,98900,165940,#,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,11-2021,Marketing Managers,detailed,70,11,0.963,0.4,,,74.6,155160,5.5,32.52,47.09,67.53,86.08,#,67630,97950,140470,179040,#,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,11-2022,Sales Managers,detailed,160,8.4,2.191,0.58,,,65.34,135910,3,25.09,36.04,61.71,79.43,108.03,52180,74960,128360,165220,224700,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,11-3012,Administrative Services Managers,detailed,180,5.2,2.435,1.52,,,51.78,107710,1.2,23.51,33.39,48.05,62.17,79.96,48890,69440,99930,129320,166320,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,11-3013,Facilities Managers,detailed,70,9.9,0.993,1.15,,,55.09,114590,4.2,21.99,36.41,51.19,76.26,80.02,45740,75740,106470,158610,166440,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,11-3021,Computer and Information Systems Managers,detailed,160,5.9,2.193,0.56,,,71.09,147870,2.7,41.43,56.53,73.47,81.45,101.26,86180,117570,152820,169410,210630,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,11-3031,Financial Managers,detailed,260,2.9,3.569,0.69,,,61.68,128300,1.8,30.44,36.89,60,76.59,96.15,63300,76730,124800,159310,199990,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,11-3051,Industrial Production Managers,detailed,210,3.7,2.91,1.98,,,59.73,124230,1.2,43.82,44.63,61.18,71.55,73.19,91140,92820,127250,148820,152240,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,11-3071,"Transportation, Storage, and Distribution Managers",detailed,50,13.1,0.627,0.48,,,49.8,103580,1.8,27.05,37.84,47.63,58.52,64.37,56260,78700,99070,121720,133890,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,11-3121,Human Resources Managers,detailed,50,10.2,0.681,0.52,,,66.58,138480,1.7,36.37,45.32,63.31,77.51,107.65,75650,94260,131670,161210,223920,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,11-9021,Construction Managers,detailed,140,5.2,1.867,0.86,,,48.26,100370,2.2,30,34.36,41.76,62.77,73.56,62400,71480,86860,130570,153010,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,11-9032,"Education Administrators, Kindergarten through Secondary",detailed,110,5.2,1.522,0.76,,,*,90370,1.2,*,*,*,*,*,48140,76140,84980,103280,127630,True,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,11-9041,Architectural and Engineering Managers,detailed,110,7.1,1.48,1.08,,,66.43,138180,2.7,37.25,53.66,63.44,80.23,86.65,77490,111610,131960,166880,180240,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,11-9051,Food Service Managers,detailed,120,10.6,1.697,1.05,,,31.36,65220,2.5,21.26,22.95,28.89,37.09,43.74,44220,47740,60100,77160,90980,,
